f_col,original_feature
f288,PSMA::NGLDM::ngl.dc.perc
f289,PSMA::NGLDM::ngl.dc.var
f290,PSMA::NGLDM::ngl.gl.var
f291,PSMA::NGLDM::ngl.glnu
f292,PSMA::NGLDM::ngl.glnu.norm
f293,PSMA::NGLDM::ngl.hde
f294,PSMA::NGLDM::ngl.hdhge
f295,PSMA::NGLDM::ngl.hdlge
f296,PSMA::NGLDM::ngl.hgce
f297,PSMA::NGLDM::ngl.lde
f298,PSMA::NGLDM::ngl.ldhge
f299,PSMA::NGLDM::ngl.ldlge
f300,PSMA::NGLDM::ngl.lgce
f301,PSMA::NGTDM::ngt.busyness
f302,PSMA::NGTDM::ngt.coarseness
f303,PSMA::NGTDM::ngt.contrast
f304,PSMA::NGTDM::ngt.strength
f305,PSMA::NGTDM::ntg.complexity
